image_path,label,source_folder
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_121401.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_121450.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_121559.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_121601.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_121627.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_121629.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_121647.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_121649.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_121658.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_121700.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_121708.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_121710.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_121717.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_121719.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_121724.jpg,beef,Fresh Beef
/mnt/c/Users/isaac/Downloads/chickenprok/Raspi_5_program/Dataset/NEW IMAGE/Fresh Beef/image_20260502_121726.jpg,beef,Fresh Beef
